timestamps,TP9,AF7,AF8,TP10,Right AUX
1691171863.757,-57.617,-979.980,-59.082,-56.641,0.000
1691171863.761,-43.945,-566.406,-56.641,-31.738,0.000
1691171863.765,-6.836,322.266,-61.523,0.488,0.000
1691171863.769,-3.906,-76.172,-71.289,-24.414,0.000
1691171863.773,-20.020,-968.750,-67.383,-41.016,0.000
1691171863.777,-24.902,-838.379,-58.105,-22.461,0.000
1691171863.781,-15.625,173.340,-61.523,-4.395,0.000
1691171863.785,-25.879,170.898,-70.801,-33.691,0.000
1691171863.788,-54.688,-806.641,-74.219,-47.852,0.000
1691171863.792,-49.805,-920.898,-66.406,-25.391,0.000
1691171863.796,-35.156,100.586,-56.641,14.160,0.000
1691171863.800,-27.344,361.816,-56.641,-12.695,0.000
